scenario,policy,position,window_index,prompt_id,domain,hits,misses,hit_rate,cumulative_hit_rate
stable,lru,0,0,code_001,code,63,73,0.4632352941176471,0.4632352941176471
stable,lru,1,0,code_000,code,41,39,0.5125,0.48148148148148145
stable,lru,2,1,code_001,code,69,67,0.5073529411764706,0.4914772727272727
stable,lru,3,1,code_000,code,41,39,0.5125,0.49537037037037035
stable,lfu,0,0,code_001,code,54,82,0.39705882352941174,0.39705882352941174
stable,lfu,1,0,code_000,code,48,32,0.6,0.4722222222222222
stable,lfu,2,1,code_001,code,76,60,0.5588235294117647,0.5056818181818182
stable,lfu,3,1,code_000,code,49,31,0.6125,0.5254629629629629
block_shift,lru,0,0,code_000,code,37,43,0.4625,0.4625
block_shift,lru,1,0,code_000,code,44,36,0.55,0.50625
block_shift,lru,2,1,creative_001,creative,35,45,0.4375,0.48333333333333334
block_shift,lru,3,1,creative_000,creative,17,31,0.3541666666666667,0.4618055555555556
block_shift,lfu,0,0,code_000,code,39,41,0.4875,0.4875
block_shift,lfu,1,0,code_000,code,55,25,0.6875,0.5875
block_shift,lfu,2,1,creative_001,creative,38,42,0.475,0.55
block_shift,lfu,3,1,creative_000,creative,26,22,0.5416666666666666,0.5486111111111112
medium_shift,lru,0,0,code_000,code,37,43,0.4625,0.4625
medium_shift,lru,1,0,code_000,code,44,36,0.55,0.50625
medium_shift,lru,2,1,creative_001,creative,35,45,0.4375,0.48333333333333334
medium_shift,lru,3,1,creative_000,creative,17,31,0.3541666666666667,0.4618055555555556
medium_shift,lfu,0,0,code_000,code,39,41,0.4875,0.4875
medium_shift,lfu,1,0,code_000,code,55,25,0.6875,0.5875
medium_shift,lfu,2,1,creative_001,creative,38,42,0.475,0.55
medium_shift,lfu,3,1,creative_000,creative,26,22,0.5416666666666666,0.5486111111111112
severe_shift,lru,0,0,code_001,code,63,73,0.4632352941176471,0.4632352941176471
severe_shift,lru,1,0,creative_001,creative,33,47,0.4125,0.4444444444444444
severe_shift,lru,2,1,creative_001,creative,32,48,0.4,0.43243243243243246
severe_shift,lru,3,1,creative_001,creative,32,48,0.4,0.425531914893617
severe_shift,lfu,0,0,code_001,code,54,82,0.39705882352941174,0.39705882352941174
severe_shift,lfu,1,0,creative_001,creative,40,40,0.5,0.4351851851851852
severe_shift,lfu,2,1,creative_001,creative,40,40,0.5,0.4527027027027027
severe_shift,lfu,3,1,creative_001,creative,40,40,0.5,0.4627659574468085
